wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;12955;3,38;565;125;440;t00
dolnoœl¹skie;674;2,33;32;11;21;t02
kujawsko-pomorskie;1106;5,34;47;12;35;t04
lubelskie;609;2,90;37;14;23;t06
lubuskie;349;3,45;11;11;;t08
³ódzkie;801;3,27;36;8;28;t10
ma³opolskie;541;1,58;30;14;16;t12
mazowieckie;1600;2,95;80;9;71;t14
opolskie;206;2,10;28;3;25;t16
podkarpackie;279;1,31;19;;19;t18
podlaskie;426;3,62;16;;16;t20
pomorskie;1101;4,69;45;7;38;t22
œl¹skie;1299;2,88;65;2;63;t24
œwiêtokrzyskie;159;1,29;20;1;19;t26
warmiñsko-mazurskie;988;6,96;15;2;13;t28
wielkopolskie;1585;4,53;54;31;23;t30
zachodniopomorskie;996;5,88;30;;30;t32
